Date,HDFC Pension Fund Scheme Tier I,HDFC Pension Fund Scheme Tier I.1,HDFC Pension Fund Scheme Tier I.2,HDFC Pension Fund Scheme Tier I.3,HDFC Pension Fund Scheme Tier II,HDFC Pension Fund Scheme Tier II.1,HDFC Pension Fund Scheme Tier II.2,HDFC Pension Fund Scheme Tier II.3,HDFC Pension Fund Scheme Tier II.4,NPS LITE SCHEME *
Unnamed: 0_level_1,E,C,G,A,E,C,G,A *,TAX SAVER SCHEME,Unnamed: 10_level_1
09-09-2021,34.5406,22.2678,21.8042,14.9463,29.8199,20.8776,22.0814,10.0,10.6047,10.0
13-09-2021,34.5304,22.2909,21.8003,14.9684,29.8116,20.9016,22.0793,10.0,10.6035,10.0
14-09-2021,34.6047,22.3048,21.8192,14.9735,29.8745,20.9154,22.095,10.0,10.6104,10.0
15-09-2021,34.9012,22.3223,21.8788,14.8863,30.1305,20.928,22.1489,10.0,10.6573,10.0
16-09-2021,35.122,22.3364,21.89,14.9399,30.3203,20.9388,22.1597,10.0,10.6733,10.0
17-09-2021,35.0246,22.337,21.9116,14.9288,30.2352,20.9419,22.1804,10.0,10.6721,10.0
20-09-2021,34.6305,22.3776,21.9604,14.865,29.894,20.9666,22.2293,10.0,10.6648,10.0
21-09-2021,34.9408,22.3754,21.9722,14.8632,30.1621,20.9634,22.2399,10.0,10.6842,10.0
22-09-2021,34.9411,22.4076,21.9703,14.8909,30.1619,20.9945,22.2372,10.0,10.6882,10.0
23-09-2021,35.4517,22.4093,21.9704,14.8541,30.6026,20.995,22.2423,10.0,10.7175,10.0
24-09-2021,35.4547,22.376,21.9153,14.8454,30.6059,20.9709,22.1823,10.0,10.7028,10.0
27-09-2021,35.4382,22.3811,21.8862,14.8669,30.5911,20.9764,22.162,10.0,10.6853,10.0
28-09-2021,35.1944,22.3694,21.8736,14.8783,30.3809,20.9691,22.1575,10.0,10.6677,10.0
29-09-2021,35.1168,22.3846,21.8967,14.8989,30.3136,20.9795,22.182,10.0,10.6695,10.0
30-09-2021,34.9404,22.3883,21.8907,14.969,30.1606,20.9833,22.1784,10.0,10.6557,10.0
01-10-2021,34.785,22.3923,21.8537,14.9897,30.0271,20.9853,22.1483,10.0,10.6368,10.0
04-10-2021,35.1341,22.3904,21.857,15.0304,30.3274,20.9879,22.1465,10.0,10.6648,10.0
05-10-2021,35.3698,22.3875,21.8319,15.0091,30.5313,20.9876,22.1289,10.0,10.6587,10.0
06-10-2021,34.9995,22.3765,21.814,15.0123,30.2127,20.9869,22.1098,10.0,10.6369,10.0
07-10-2021,35.2807,22.3657,21.8297,15.0107,30.4545,20.9712,22.1249,10.0,10.6612,10.0
08-10-2021,35.4244,22.3404,21.7547,15.0057,30.5787,20.9535,22.0573,10.0,10.6512,10.0
11-10-2021,35.502,22.3424,21.7259,15.0063,30.6443,20.9572,22.0284,10.0,10.6479,10.0
12-10-2021,35.5983,22.3463,21.7338,15.0058,30.7273,20.9614,22.0306,10.0,10.6514,10.0
13-10-2021,35.8467,22.3576,21.7714,15.1025,30.9408,20.9703,22.072,10.0,10.6798,10.0
14-10-2021,36.1542,22.3773,21.7784,15.1666,31.2069,20.9809,22.0803,10.0,10.6975,10.0
18-10-2021,36.4244,22.3682,21.7122,15.2431,31.4398,20.9829,22.019,10.0,10.6968,10.0
20-10-2021,35.9958,22.3208,21.731,15.1981,31.0687,20.9483,22.0337,10.0,10.6772,10.0
