Date,Amt,Nifty Units,SBI Units,HDFC Units,ICICI Units
2022-04-09,-20.12,-0.1131,-0.5224,-0.5743,-0.4328
2022-04-20,5803.03,33.8635,155.7313,171.2915,129.1037
2022-06-13,5822.83,36.9132,169.5093,186.1798,141.7865
2022-07-09,-19.71,-0.1215,-0.5545,-0.6075,-0.4644
2022-07-18,5822.83,35.7701,162.7471,178.4245,136.1639
2022-08-19,5815.75,32.7492,149.5524,163.9241,124.7828
2022-09-01,600.0,3.4202,15.5629,17.0615,12.903
2023-03-13,6678.18,38.9301,175.9583,193.0891,146.3457
2023-04-06,-19.98,-0.1135,-0.514,-0.5634,-0.4276
2023-04-11,6678.18,37.6824,170.7398,187.343,141.9579
2023-05-08,4158.18,22.7666,102.6141,113.0552,85.5374
2023-06-12,4158.18,22.354,99.919,110.0126,82.8016
31-May-2024,45477.350000000006,59503.85,63713.84,63970.73,66486.04
,,18.83%,24.1%,24.41%,27.48%
