Date,Amt,NAV,Nifty NAV,NPS Units,Nifty Units
2022-04-09,-20.12,38.2312,177.84349999999998,-0.5263,-0.1131
2022-04-20,5803.03,37.2631,171.3655,155.7313,33.8635
2022-06-13,5822.83,34.3511,157.744,169.5093,36.9132
2022-07-09,-19.71,35.3381,162.20600000000002,-0.5578,-0.1215
2022-07-18,5822.83,35.7784,162.785,162.7471,35.7701
2022-08-19,5815.75,38.8877,177.58450000000002,149.5524,32.7492
2022-09-01,600.0,38.5533,175.428,15.5629,3.4202
2023-03-13,6678.18,37.9532,171.543,175.9583,38.9301
2023-04-06,-19.98,38.8729,175.9915,-0.514,-0.1135
2023-04-11,6678.18,39.1132,177.22299999999998,170.7398,37.6824
2023-05-08,4158.18,40.5225,182.644,102.6141,22.7666
2023-06-12,4158.18,41.6155,186.015,99.919,22.354
31-May-2024,45477.350000000006,53.062,225.30700000000002,63713.46,59503.85
,,,,24.1%,18.83%
