0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,CG Scheme,SG Scheme,E Tier I,C Tier I,G Tier I,E Tier II,C Tier II,G Tier II,NPS Lite,Corporate CG,APY,A Tier I,A Tier II,NPS TTS-II
2021-09-09,36.8053,31.6151,37.6909,34.0152,31.4781,34.7769,30.7283,29.8855,29.7532,23.4924,17.9553,15.8412,0.0000,10.4283
2021-09-13,36.8076,31.6162,37.6443,34.0537,31.4762,34.7301,30.7515,29.8840,29.7575,23.4926,17.9542,15.8436,0.0000,10.4196
2021-09-14,36.8442,31.6477,37.7308,34.0811,31.5048,34.8094,30.7682,29.9076,29.7910,23.5166,17.9715,15.8272,0.0000,10.4248
2021-09-15,36.9359,31.7268,38.0424,34.0919,31.5752,35.0919,30.7827,29.9752,29.8611,23.5762,18.0153,15.8268,0.0000,10.4297
2021-09-16,36.9920,31.7738,38.2955,34.1086,31.5861,35.3238,30.7985,29.9799,29.9092,23.6124,18.0404,15.8671,0.0000,10.4291
2021-09-17,37.0044,31.7836,38.2149,34.1190,31.6222,35.2571,30.8076,30.0030,29.9180,23.6195,18.0444,15.8482,0.0000,10.4416
2021-09-20,37.0148,31.7922,37.8727,34.1462,31.6970,34.9436,30.8352,30.0704,29.9160,23.6266,18.0486,15.8795,0.0000,10.4478
2021-09-21,37.0624,31.8353,38.1547,34.1408,31.7114,35.2148,30.8383,30.0869,29.9556,23.6574,18.0719,15.8800,0.0000,10.4611
2021-09-22,37.0847,31.8538,38.1530,34.1921,31.7256,35.2300,30.8661,30.1033,29.9783,23.6700,18.0821,15.8763,0.0000,10.4668
2021-09-23,37.1577,31.9162,38.6919,34.1913,31.7231,35.7337,30.8662,30.1070,30.0403,23.7178,18.1194,15.8481,0.0000,10.4483
2021-09-24,37.1063,31.8700,38.7606,34.1458,31.6426,35.7935,30.8267,30.0321,30.0018,23.6848,18.0937,15.8496,0.0000,10.4570
2021-09-27,37.0859,31.8512,38.7565,34.1470,31.6048,35.7940,30.8306,29.9935,29.9886,23.6688,18.0845,15.8708,0.0000,10.4511
2021-09-28,37.0430,31.8132,38.5543,34.1372,31.5901,35.6000,30.8299,29.9836,29.9555,23.6404,18.0638,15.8796,0.0000,10.4413
2021-09-29,37.0504,31.8196,38.4585,34.1587,31.6153,35.4996,30.8426,30.0109,29.9637,23.6451,18.0650,15.8677,0.0000,10.4497
2021-09-30,37.0212,31.7957,38.2411,34.1674,31.6109,35.2954,30.8511,30.0036,29.9389,23.6257,18.0499,15.9231,0.0000,10.4482
2021-10-01,36.9613,31.7452,38.0184,34.1634,31.5713,35.0897,30.8481,29.9702,29.8947,23.5873,18.0234,15.9403,0.0000,10.4402
2021-10-04,37.0193,31.7940,38.3223,34.1710,31.5740,35.3810,30.8543,29.9801,29.9427,23.6238,18.0504,15.9465,0.0000,10.4507
2021-10-05,37.0407,31.8141,38.6410,34.1598,31.5546,35.6757,30.8477,29.9379,29.9612,23.6377,18.0613,15.9297,0.0000,10.4406
2021-10-06,36.9745,31.7571,38.2717,34.1478,31.5276,35.3317,30.8390,29.9204,29.8972,23.5952,18.0280,15.9299,0.0000,10.4527
2021-10-07,37.0341,31.8069,38.6052,34.1369,31.5652,35.6505,30.8298,29.9387,29.9559,23.6325,18.0591,15.9230,0.0000,10.4299
2021-10-08,36.9881,31.7694,38.8048,34.1035,31.4528,35.8355,30.7948,29.8625,29.9230,23.6022,18.0406,15.9179,0.0000,10.4442
2021-10-11,36.9833,31.7627,38.8938,34.1141,31.4166,35.9162,30.8020,29.8295,29.9281,23.5966,18.0380,15.9160,0.0000,10.4374
2021-10-12,36.9945,31.7709,38.9873,34.1303,31.4096,35.9955,30.8040,29.8224,29.9351,23.6044,18.0458,15.9216,0.0000,10.4303
2021-10-13,37.0833,31.8449,39.3112,34.1459,31.4596,36.2977,30.8180,29.8697,30.0104,23.6600,18.0880,15.9784,0.0000,10.4494
2021-10-14,37.1356,31.8903,39.6275,34.1653,31.4707,36.5785,30.8364,29.8709,30.0539,23.6922,18.1135,16.0300,0.0000,10.4499
